quad_tree,dimension,n,k,time
quad_tree,2,100000,100,2233
quad_tree,2,100000,200,2845
quad_tree,2,100000,300,3279
quad_tree,2,100000,400,3654
quad_tree,2,100000,500,3990
quad_tree,2,100000,600,4351
quad_tree,2,100000,700,4669
quad_tree,2,200000,100,3749
quad_tree,2,200000,200,4691
quad_tree,2,200000,300,5366
quad_tree,2,200000,400,5954
quad_tree,2,200000,500,6411
quad_tree,2,200000,600,6923
quad_tree,2,200000,700,7348
quad_tree,2,300000,100,5264
quad_tree,2,300000,200,6471
quad_tree,2,300000,300,7365
quad_tree,2,300000,400,8244
quad_tree,2,300000,500,8783
quad_tree,2,300000,600,9464
quad_tree,2,300000,700,10117
quad_tree,2,400000,100,6722
quad_tree,2,400000,200,8145
quad_tree,2,400000,300,9281
quad_tree,2,400000,400,10212
quad_tree,2,400000,500,11001
quad_tree,2,400000,600,11711
quad_tree,2,400000,700,12252
quad_tree,2,500000,100,7998
quad_tree,2,500000,200,9559
quad_tree,2,500000,300,10731
quad_tree,2,500000,400,11823
quad_tree,2,500000,500,12627
quad_tree,2,500000,600,13464
quad_tree,2,500000,700,14217
quad_tree,2,600000,100,9385
quad_tree,2,600000,200,11320
quad_tree,2,600000,300,12645
quad_tree,2,600000,400,13736
quad_tree,2,600000,500,14761
quad_tree,2,600000,600,15832
quad_tree,2,600000,700,16989
quad_tree,2,700000,100,10868
quad_tree,2,700000,200,12735
quad_tree,2,700000,300,14191
quad_tree,2,700000,400,15441
quad_tree,2,700000,500,16373
quad_tree,2,700000,600,17493
quad_tree,2,700000,700,18413
